Название;Категория;Производитель;SKU;guid;ЗакупочнаяЦена;БонуснаяЦена;ПолнаяЦена;НаличиеНурсултан;НаличиеПавлодар;Гарантия;КодОпенкарта;НаличиеАлматы;НаличиеПанфилова;
"Чернила Epson C13T67354A L800, Light Cyan";"Чернила";"Epson";"C13T67354A";c1c4b032-b025-11e8-8008-7c8bca00133f;7808;10541;9338;2;3;1 мес.;46251;0;2;
"Чернила Epson C13T67314A L800, Black";"Чернила";"Epson";"C13T67314A";c1c4b034-b025-11e8-8008-7c8bca00133f;7845;10591;9338;2;6;1 мес.;44496;0;0;
"Чернила Epson C13T67324A L800, Cyan";"Чернила";"Epson";"C13T67324A";c1c4b036-b025-11e8-8008-7c8bca00133f;7808;10541;9338;2;5;1 мес.;46215;0;0;
"Чернила Epson C13T67334A L800, Magenta";"Чернила";"Epson";"C13T67334A";c1c4b038-b025-11e8-8008-7c8bca00133f;7808;10541;9338;2;5;1 мес.;44500;0;2;
"Чернила Epson C13T67344A L800, Yellow";"Чернила";"Epson";"C13T67344A";c1c4b03a-b025-11e8-8008-7c8bca00133f;7808;10541;9338;2;5;1 мес.;46214;0;3;
"Чернила Epson C13T67364A L800, Light Magenta";"Чернила";"Epson";"C13T67364A";c1c4b03c-b025-11e8-8008-7c8bca00133f;7808;10541;9338;2;3;1 мес.;46250;0;0;
"Мышь Steelseries Prime Mini, 62421";"Мыши";"SteelSeries";"62421";1f4da8a5-5c9f-11ec-8114-7c8bca00133f;16650;21645;19302;1;0;12 мес.;54473;0;0;
"Корпус X-Game XC-370PS-2,  ATX, Black, 400W";"Корпуса";"X-Game";"XC-370PS-2";f2f4a728-8271-11ec-8189-7c8bca00133f;10750;14083;13689;2;0;1 мес.;54969;0;0;
"Вентилятор для корпуса Thermaltake Luna 12 LED Red, CL-F017-PL12RE-A";"Охлаждение для корпусов ПК";"Thermaltake";"CL-F017-PL12RE-A";ea38d071-c72f-11ec-8235-00155d466f08;4367;7201;8595;1;0;1 мес.;55919;0;0;
"Кабель HDMI(M) - HDMI(M) iPower iPiHDMi50 ver.1.4 5m";"Кабели";"iPower";"iPiHDMi50 5m";28a37289-ca39-11e9-82b8-7c8bca00133f;1338;1699;1563;2;1;1 мес.;47580;0;0;
"Адаптер mini jack 3.5 мм (F) > 2 x mini jack 3.5 мм (M)";"Адаптеры";"No name";"3.5F-2x3.5M";1728da31-cd6d-11e9-82b8-7c8bca00133f;245;600;600;1;11;1 мес.;48457;2;0;
"Адаптер 2 x mini jack 3.5 мм (F) > mini jack 3.5 мм (M) ""шнур""";"Адаптеры";"No name";"2x3.5F-3.5M-C";847cb797-d458-11e9-82b8-7c8bca00133f;245;600;600;8;12;1 мес.;48458;0;1;
"Оперативная память DDR3 1600/4Gb Patriot, PSD34G16002";"Оперативная память";"Patriot";"PSD34G16002";5a4d80c6-1922-11e8-8470-7c8bca00133f;3625;4531;4885;1;0;24 мес.;42916;0;0;
"Хомут нейлоновый Deluxe 2.5*200 мм белый (100 штук в упаковке)";"Крепежи и метизы";"Deluxe";"2.5*200 мм белый (100 штук в упаковке)";71ea2ff9-bcae-11e7-8513-7c8bca00133f;216;321;354;4;134;1 мес.;43596;0;20;
"Хомут нейлоновый Deluxe 3.6*200 мм белый (100 штук в упаковке)";"Крепежи и метизы";"Deluxe";"3.6*200 мм белый (100 штук в упаковке)";71ea2ffb-bcae-11e7-8513-7c8bca00133f;299;410;389;2;8;1 мес.;46802;0;0;
"Хомут нейлоновый Deluxe 4.8*250 мм белый (100 штук в упаковке)";"Крепежи и метизы";"Deluxe";"4.8*250 мм белый (100 штук в упаковке)";71ea2ffd-bcae-11e7-8513-7c8bca00133f;510;696;1377;3;92;1 мес.;42490;0;0;
"Оперативная память DDR4 2400/4Gb Geil Pristine Series, GP44GB2400C17SC";"Оперативная память";"Geil";"GP44GB2400C17SC";0e0897fc-c12b-11e7-8513-7c8bca00133f;4535;7352;6791;1;0;36 мес.;42282;0;0;
"Клавиатура A4Tech Bloody B3590R Black/Grey";"Клавиатуры";"A4Tech";"B3590R Black/Grey";31d48dab-a688-11ec-8581-00155d466f08;16815;24985;21523;2;2;12 мес.;56001;4;0;
"Зарядное устройство USB Awei C3, 2xUSB 5V/2.1А, Black";"Зарядные устройства";"AWEI";"Awei C3 Black";aa85e575-8751-11ec-8581-7c8bca00133f;1418;2836;1924;1;0;12 мес.;55479;0;0;
"Картридж NVP NV-MLTD209L";"Картриджи, тонеры, барабаны";"NVP";"NV-MLTD209L";aa931d3e-db44-11e7-85ef-7c8bca00133f;3895;6617;6622;2;2;1 мес.;42523;0;0;
"Кулер для процессора GameMax Gamma 500-Rainbow, 14100900456";"Кулеры для процессоров";"GameMax";"14100900456";1c134e19-da91-11e8-86b6-7c8bca00133f;11155;14613;12172;2;0;12 мес.;46037;0;0;
